1.627000000000000000e+10,6.150000000000000000e+09,4.380000000000000000e+09,6.769999999999999574e+00
1.330000000000000000e+09,4.720000000000000000e+09,4.120000000000000000e+08,7.349999999999999645e+00
1.330000000000000000e+09,1.330000000000000000e+09,1.080000000000000000e+09,1.000000000000000000e+01
1.538000000000000000e+10,1.057000000000000000e+10,2.770000000000000000e+09,7.459999999999999964e+00
8.730000000000000000e+09,2.540000000000000000e+09,1.010000000000000000e+09,7.620000000000000107e+00
8.730000000000000000e+09,1.004000000000000000e+10,2.880000000000000000e+09,7.580000000000000071e+00
1.260000000000000000e+09,1.333000000000000000e+10,6.020000000000000000e+08,5.769999999999999574e+00
2.420000000000000000e+09,1.333000000000000000e+10,3.560000000000000000e+09,6.309999999999999609e+00
4.920000000000000000e+09,7.350000000000000000e+09,4.190000000000000000e+08,7.500000000000000000e+00
2.930000000000000000e+09,7.380000000000000000e+09,1.710000000000000000e+09,6.769999999999999574e+00
1.889000000000000000e+10,7.380000000000000000e+09,4.540000000000000000e+09,7.419999999999999929e+00
1.790000000000000000e+09,8.780000000000000000e+08,4.400000000000000000e+08,6.849999999999999645e+00
8.150000000000000000e+08,6.110000000000000000e+08,2.850000000000000000e+08,6.190000000000000391e+00
1.810000000000000000e+08,6.650000000000000000e+08,9.240000000000000000e+07,5.919999999999999929e+00
2.470000000000000000e+09,1.760000000000000000e+09,6.160000000000000000e+08,7.000000000000000000e+00
1.260000000000000000e+09,2.470000000000000000e+09,2.970000000000000000e+08,6.620000000000000107e+00
8.590000000000000000e+09,1.260000000000000000e+09,4.790000000000000000e+08,6.809999999999999609e+00
5.820000000000000000e+09,8.590000000000000000e+09,1.060000000000000000e+09,4.620000000000000107e+00
5.820000000000000000e+09,3.970000000000000000e+08,1.560000000000000000e+08,5.809999999999999609e+00
1.404000000000000000e+10,7.590000000000000000e+09,2.740000000000000000e+09,7.080000000000000071e+00
7.590000000000000000e+09,1.122000000000000000e+10,7.340000000000000000e+09,8.080000000000000071e+00
7.590000000000000000e+09,1.236000000000000000e+10,2.010000000000000000e+09,1.620000000000000107e+00
7.590000000000000000e+09,5.830000000000000000e+09,6.510000000000000000e+08,1.310000000000000053e+00
7.590000000000000000e+09,7.040000000000000000e+08,1.940000000000000000e+08,9.200000000000000400e-01
7.590000000000000000e+09,1.570000000000000000e+09,2.850000000000000000e+08,1.810000000000000053e+00
1.590000000000000000e+08,1.570000000000000000e+09,4.540000000000000000e+07,6.690000000000000391e+00
7.590000000000000000e+09,1.541000000000000000e+10,3.080000000000000000e+09,3.729999999999999982e+00
7.590000000000000000e+09,1.396000000000000000e+10,2.210000000000000000e+09,9.200000000000000400e-01
1.535000000000000000e+10,5.270000000000000000e+09,1.710000000000000000e+09,7.459999999999999964e+00
8.030000000000000000e+09,7.560000000000000000e+09,2.380000000000000000e+09,8.119999999999999218e+00
9.180000000000000000e+09,2.040000000000000000e+09,7.070000000000000000e+08,7.730000000000000426e+00
7.560000000000000000e+09,2.410000000000000000e+09,1.750000000000000000e+09,9.150000000000000355e+00
1.260000000000000000e+09,1.810000000000000000e+08,7.560000000000000000e+06,3.099999999999999978e-01
8.160000000000000000e+09,1.230000000000000000e+08,3.850000000000000000e+07,2.300000000000000100e-01
8.160000000000000000e+09,2.650000000000000000e+09,1.020000000000000000e+09,8.580000000000000071e+00
8.160000000000000000e+09,5.680000000000000000e+07,1.550000000000000000e+07,5.919999999999999929e+00
4.140000000000000000e+08,7.660000000000000000e+07,9.090000000000000000e+06,6.690000000000000391e+00
